feasible_reaction_smarts,not_trained_on_but_known,known_from_valid_set,known_from_test_set,num_products_works_with,example_works_with_reaction_id
[C:4]-[C;H0;D4;+0:5]1(-[C:6])-[O;H0;D2;+0:3]-[C:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:7]-1>>O-[CH2;D2;+0:1]-[C:2]-[OH;D1;+0:3].[C:4]-[C;H0;D3;+0:5](-[C:6])=[O;H0;D1;+0:7],False,False,False,2,US04960792
[#16;a:5]:[c:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:7]-[C:6]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[c:4]:[#16;a:5].[C:6]-[NH2;D1;+0:7],True,True,False,2,US20100063068A1
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[O;H0;D2;+0:5]-[C:4]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[C:4]-[O-;H0;D1:5],False,False,False,17,US20030134854A1
[C:4]-[N;H0;D3;+0:5](-[C:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[C:4]-[NH;D2;+0:5]-[C:6],True,True,True,22,US20130168656A1
[#7;a:8]:[#7;a:9]:[c:10]-[NH;D2;+0:11]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[#8:3]-[C:4](-[C;D1;H3:5])(-[C;D1;H3:6])-[C;D1;H3:7]>>C-C(-C)(-C)-O-C(=O)-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[#8:3]-[C:4](-[C;D1;H3:5])(-[C;D1;H3:6])-[C;D1;H3:7].[#7;a:8]:[#7;a:9]:[c:10]-[NH2;D1;+0:11],True,True,False,2,US20110152240A1
[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[N;H0;D3;+0:8](-[C:9])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3].[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH;D2;+0:8]-[C:9],False,False,False,10,US20130217665A1
[c:2]-[CH2;D2;+0:1]-[NH;D2;+0:3]-[c:4]>>O=[CH;D2;+0:1]-[c:2].[NH2;D1;+0:3]-[c:4],True,True,True,10,US06583180B2
[#7;a:4]:[#7;a:3]:[c:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:5]-[c:6]>>Cl-[CH2;D2;+0:1]-[c:2]:[#7;a:3]:[#7;a:4].[OH;D1;+0:5]-[c:6],True,True,False,1,US20080255083A1
[C;D1;H3:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:5]-[C:4]=[O;D1;H0:3]>>I-[CH2;D2;+0:1]-[C;D1;H3:2].[O;D1;H0:3]=[C:4]-[OH;D1;+0:5],True,True,False,1,US04683242
[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH;D2;+0:8]-[C;H0;D3;+0:1](-[#8:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[#8:2])=[O;D1;H0:3].[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH2;D1;+0:8],True,False,True,1,US20010009916A1
