smiles,canonical_smiles,valid,unique,novel
O=C(CCn1nnc2ccccc2c1=O)c1ccco1,O=C(CCn1nnc2ccccc2c1=O)c1ccco1,True,True,True
O=c1ccn(CCOCCCc2ccccc2)c(=O)[nH]1,O=c1ccn(CCOCCCc2ccccc2)c(=O)[nH]1,True,True,True
O=C(Cc1ccc(Cl)cc1)C(=O)Nc1cnc(Cl)c(Cl)c1,O=C(Cc1ccc(Cl)cc1)C(=O)Nc1cnc(Cl)c(Cl)c1,True,True,True
NC(=O)C1(N(CCc2c[nH]c3ccccc23)Cc2ccccc2)CCN(Cc2cccs2)CC1,NC(=O)C1(N(CCc2c[nH]c3ccccc23)Cc2ccccc2)CCN(Cc2cccs2)CC1,True,True,True
O=C(CN1C(=O)NC2(CCc3ccccc32)C1=O)NC1CCCc2ccccc21,O=C(CN1C(=O)NC2(CCc3ccccc32)C1=O)NC1CCCc2ccccc21,True,True,True
c1ccc2cc(-c3cc4ccc(C5=NCCN5)cc4[nH]3)[nH]c2c1,c1ccc2[nH]c(-c3cc4ccc(C5=NCCN5)cc4[nH]3)cc2c1,True,True,True
COc1cc2c(cc1O)CCN(CCCCCCCCOc1ccc(C)cc1)C2,COc1cc2c(cc1O)CCN(CCCCCCCCOc1ccc(C)cc1)C2,True,True,True
CN(c1ncnc2[nH]ccc12)C1CCC(CS(=O)(=O)N2CCC(CN(C)CCCC(F)(F)c3ccccc3)CC2)CC1,CN(CCCC(F)(F)c1ccccc1)CC1CCN(S(=O)(=O)CC2CCC(N(C)c3ncnc4[nH]ccc34)CC2)CC1,True,True,True
CC(=O)N1CCCn2c(nc(CN(C)C)cc2=O)C1,CC(=O)N1CCCn2c(nc(CN(C)C)cc2=O)C1,True,True,True
COc1ccc(C2C(C#N)=C(N)Oc3c2ccc2cc(OC)ccc32)cc1,COc1ccc(C2C(C#N)=C(N)Oc3c2ccc2cc(OC)ccc32)cc1,True,True,True
O=C(Nc1cccc(Cl)c1)c1snnc1C(F)(F)F,O=C(Nc1cccc(Cl)c1)c1snnc1C(F)(F)F,True,True,True
Cc1ccc2nc(NC(=O)COc3ccc4c5c(c(=O)oc4c3C)CCC5)sc2c1,Cc1ccc2nc(NC(=O)COc3ccc4c5c(c(=O)oc4c3C)CCC5)sc2c1,True,True,True
CC(=O)c1cn(O)c2cc(N3CCOCC3)c(F)cc2c1=O,CC(=O)c1cn(O)c2cc(N3CCOCC3)c(F)cc2c1=O,True,True,True
CCc1noc(CCN(C)Cc2csc(C)n2)n1,CCc1noc(CCN(C)Cc2csc(C)n2)n1,True,True,True
O=C(O)CC1(CC(=O)Nc2ccc(OCc3ccccc3)cc2)CCCCC1,O=C(O)CC1(CC(=O)Nc2ccc(OCc3ccccc3)cc2)CCCCC1,True,True,True
Cc1ccc(NC(=O)C(C)OC(=O)CNC(=O)c2ccccc2Cl)cc1,Cc1ccc(NC(=O)C(C)OC(=O)CNC(=O)c2ccccc2Cl)cc1,True,True,True
CC(=NN=c1sc2ccccc2n1C)c1cccc[n+]1[O-],CC(=NN=c1sc2ccccc2n1C)c1cccc[n+]1[O-],True,True,True
Cc1ccc(C(C)C)c(OCC(=O)N(C=O)CC(=O)NCC2CCCO2)c1,Cc1ccc(C(C)C)c(OCC(=O)N(C=O)CC(=O)NCC2CCCO2)c1,True,True,True
N#CC1=C(SCc2cc([N+](=O)[O-])ccc2O)NC(=O)CC1c1ccccc1F,N#CC1=C(SCc2cc([N+](=O)[O-])ccc2O)NC(=O)CC1c1ccccc1F,True,True,True
NC(=O)CNC(=O)c1ccc2c(c1)C(=C1Nc3ccccc3C1=NO)C(=O)N2,NC(=O)CNC(=O)c1ccc2c(c1)C(=C1Nc3ccccc3C1=NO)C(=O)N2,True,True,True
CN(C)CCN(C)C(=O)C(c1ccccc1)c1cccs1,CN(C)CCN(C)C(=O)C(c1ccccc1)c1cccs1,True,True,True
CNc1nc(Cl)c(N2CCN(C(C(=O)O)C3CCCC3)CC2)c(OC)c1NC,CNc1nc(Cl)c(N2CCN(C(C(=O)O)C3CCCC3)CC2)c(OC)c1NC,True,True,True
CCN(CC)CCCOc1ccc(C2Nc3cccc(OC)c3C3C=CCC13)O2,CCN(CC)CCCOC1=CC=C2OC2Nc2cccc(OC)c2C2C=CCC12,True,True,True
O=C(CCCC(=O)O)NCc1cccc(Cl)c1,O=C(O)CCCC(=O)NCc1cccc(Cl)c1,True,True,True
CC(C)Oc1ccc(C(C)(C)c2ccc(OCCCN3CCC(Cc4ccccc4)CC3)cc2)cc1,CC(C)Oc1ccc(C(C)(C)c2ccc(OCCCN3CCC(Cc4ccccc4)CC3)cc2)cc1,True,True,True
Cc1cc(OCCCN2CCOCC2)nc(-c2ccccc2Nc2c(Cl)cccc2Cl)n1,Cc1cc(OCCCN2CCOCC2)nc(-c2ccccc2Nc2c(Cl)cccc2Cl)n1,True,True,True
Cc1cc(C(=O)NC2CC3CCC2C3)no1,Cc1cc(C(=O)NC2CC3CCC2C3)no1,True,True,True
Cc1cc(NC(=O)CSCc2ccccc2)no1,Cc1cc(NC(=O)CSCc2ccccc2)no1,True,True,False
Brc1cnc(Nc2c[nH]cn2)nc1N1CCN(CCNc2ccncc2)CC1,Brc1cnc(Nc2c[nH]cn2)nc1N1CCN(CCNc2ccncc2)CC1,True,True,True
COc1ccc(-c2cn(CCCC(=O)O)c(=O)c3ccccc23)cc1,COc1ccc(-c2cn(CCCC(=O)O)c(=O)c3ccccc23)cc1,True,True,True
COc1ccc(C=C2CCCN=C2c2cccnc2)c(OC)c1,COc1ccc(C=C2CCCN=C2c2cccnc2)c(OC)c1,True,True,True
CC(=O)NC1CC(C(=O)N2CCC3(CC2)NCc2ccccc23)Nc2cc(Cl)ccc21,CC(=O)NC1CC(C(=O)N2CCC3(CC2)NCc2ccccc23)Nc2cc(Cl)ccc21,True,True,True
Cn1cc(C2=C(c3c4n(c5ccccc35)CCC(Br)C2=O)c2cc(OCCc3ccccc3)ccc21,,False,True,True
Cn1c2c(c3cccc(-c4cc(Cl)ccc4Cl)c31)C1CCC(C2)N1,Cn1c2c(c3cccc(-c4cc(Cl)ccc4Cl)c31)C1CCC(C2)N1,True,True,True
CC(C)C(NC(=O)c1ccccc1)C(=O)N1CCN(Cc2ccc(Cl)cc2)CC1,CC(C)C(NC(=O)c1ccccc1)C(=O)N1CCN(Cc2ccc(Cl)cc2)CC1,True,True,True
Cc1ccc(=O)n(CCCNCc2nc3ccccc3c(=O)[nH]2)n1,Cc1ccc(=O)n(CCCNCc2nc3ccccc3c(=O)[nH]2)n1,True,True,True
CC(C)(NCC(O)c1cccc2ccccc12)c1cccc2ccccc12,CC(C)(NCC(O)c1cccc2ccccc12)c1cccc2ccccc12,True,True,True
Cc1ccc(Sc2cc(Nc3cccc(Cn4ccnc4)c3)nc(N3CCC(O)C3)n2)c(C)c1,Cc1ccc(Sc2cc(Nc3cccc(Cn4ccnc4)c3)nc(N3CCC(O)C3)n2)c(C)c1,True,True,True
O=C(NN1C(=O)NC(c2ccccc2)=C(Nc2cccnc2)C1=O)c1ccccc1,O=C(Nn1c(=O)[nH]c(-c2ccccc2)c(Nc2cccnc2)c1=O)c1ccccc1,True,True,True
Nc1ccc(Cc2ccccc2)cc1C(=O)NCc1cccc(N2CCCC2)c1,Nc1ccc(Cc2ccccc2)cc1C(=O)NCc1cccc(N2CCCC2)c1,True,True,True
COC(=O)C(Cc1ccccc1)NP(=O)(Oc1ccccc1)Oc1ccccc1,COC(=O)C(Cc1ccccc1)NP(=O)(Oc1ccccc1)Oc1ccccc1,True,True,True
CCN(CC)CCn1cnc(S(=O)(=O)c2cc(Cl)cc(Cl)c2)c1,CCN(CC)CCn1cnc(S(=O)(=O)c2cc(Cl)cc(Cl)c2)c1,True,True,True
O=C(Nc1ccccc1N1CCCC1)c1cc(F)cc(F)c1,O=C(Nc1ccccc1N1CCCC1)c1cc(F)cc(F)c1,True,True,True
CC(CO)NC(=O)c1cn(CCCCOc2cccc(OC(=O)N(C)C)c2)c(=O)[nH]c1=O,CC(CO)NC(=O)c1cn(CCCCOc2cccc(OC(=O)N(C)C)c2)c(=O)[nH]c1=O,True,True,True
COc1cccc(N(C(=O)OC2CCc3ccccc32)C(C)=O)c1,COc1cccc(N(C(C)=O)C(=O)OC2CCc3ccccc32)c1,True,True,True
CC(=O)Nc1ccc(NC(=O)c2cc3ccccc3o2)cc1,CC(=O)Nc1ccc(NC(=O)c2cc3ccccc3o2)cc1,True,True,False
COc1ccc(C=C2C(=O)N(C3CC3)C(C)(C)C2=O)cc1OCC(=O)N1CCOCC1,COc1ccc(C=C2C(=O)N(C3CC3)C(C)(C)C2=O)cc1OCC(=O)N1CCOCC1,True,True,True
COc1ccccc1CCN1CCC2(C=CC(=O)NC2=O)CC1,COc1ccccc1CCN1CCC2(C=CC(=O)NC2=O)CC1,True,True,True
CN(C)c1ccc(C2CC(c3ccc(N(C)C)cc3)=NN2)cc1,CN(C)c1ccc(C2=NNC(c3ccc(N(C)C)cc3)C2)cc1,True,True,True
Cc1ccc2c(c1C)SCC(=O)N2,Cc1ccc2c(c1C)SCC(=O)N2,True,True,True
Cc1csc(C(=O)N2CC3CN(c2cccc(-c4ccco4)n3)CC2C)n1,,False,True,True
COc1ccc(C(C(=O)NC(C)C)N(Cc2ccco2)C(=O)CNC(=O)c2cccs2)cc1OC,COc1ccc(C(C(=O)NC(C)C)N(Cc2ccco2)C(=O)CNC(=O)c2cccs2)cc1OC,True,True,True
COC1C=CCOC2(COC(=O)C(OCc3ccccc3)c3ccccc3)C(OC(=O)NC(C)(C)C)CC(C)(OC)C(O)C12,COC1C=CCOC2(COC(=O)C(OCc3ccccc3)c3ccccc3)C(OC(=O)NC(C)(C)C)CC(C)(OC)C(O)C12,True,True,True
CN(C(=O)CNC(=O)c1ccc2c(c1)OCCCO2)C(CN1CCC(Cc2ccccc2)CC1)c1ccccc1,CN(C(=O)CNC(=O)c1ccc2c(c1)OCCCO2)C(CN1CCC(Cc2ccccc2)CC1)c1ccccc1,True,True,True
CC(C)(C)c1ccc(-c2nc3c(c(SCC(=O)Nc4ccccc4F)n2)Cc2c(CO)cnc(C)c2O3)cc1,Cc1ncc(CO)c2c1Oc1nc(-c3ccc(C(C)(C)C)cc3)nc(SCC(=O)Nc3ccccc3F)c1C2,True,True,True
Cc1ccc(C(=O)Nn2cnnc2)c(Br)c1,Cc1ccc(C(=O)Nn2cnnc2)c(Br)c1,True,True,True
CCC(CO)Nc1nc(-c2ccnc(N)c2)ncc1C(=O)Nc1ccc2cc(C)ccc2c1,CCC(CO)Nc1nc(-c2ccnc(N)c2)ncc1C(=O)Nc1ccc2cc(C)ccc2c1,True,True,True
COC(=O)C1CC(NC(=O)c2c(C)nn(Cc3ccccc3F)c2C)CN1C(C)=O,COC(=O)C1CC(NC(=O)c2c(C)nn(Cc3ccccc3F)c2C)CN1C(C)=O,True,True,True
N=C(N)c1ccc(C2=Cc3ccc(C(=N(CCP(=O)(O)O)c4ccccc4)c4ccccc4)cc3C3CCCC23)cc1,,False,True,True
CCCC1C(=O)N2C(C(=O)OCCc3ccccc3)=C(COC(C)=O)CS(=O)(=O)C12,CCCC1C(=O)N2C(C(=O)OCCc3ccccc3)=C(COC(C)=O)CS(=O)(=O)C12,True,True,True
Cn1nc(C(=O)NC(C)(C)C)c2c1-c1nc(Nc3cccc(-c4cnn(CC(=O)Nc5ccccn5)c4)c3)ncc1CC2,Cn1nc(C(=O)NC(C)(C)C)c2c1-c1nc(Nc3cccc(-c4cnn(CC(=O)Nc5ccccn5)c4)c3)ncc1CC2,True,True,True
CCOC(=O)C1CCN(C(=O)C(Cc2c[nH]c3ccccc23)NC(=O)c2cccc(OC)c2)CC1,CCOC(=O)C1CCN(C(=O)C(Cc2c[nH]c3ccccc23)NC(=O)c2cccc(OC)c2)CC1,True,True,True
C[n+]1nc(NC(=N)NS(=O)(=O)c2ccc(S(N)(=O)=O)cc2)sc1SCc1c(F)c(F)c(F)c(F)c1F,C[n+]1nc(NC(=N)NS(=O)(=O)c2ccc(S(N)(=O)=O)cc2)sc1SCc1c(F)c(F)c(F)c(F)c1F,True,True,True
